epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3854,1.79683,2.20965,1.67578,0.65626,0.50711,0.58372,0.31294,1.57302,2.4998,1.57103,0.0673333,0.000329966,0.000329966
2,34.4462,1.63553,1.55837,1.55566,0.76651,0.61374,0.68773,0.37891,1.53817,3.06316,1.48357,0.0343323,0.000662277,0.000662277
3,51.3117,1.58705,1.44969,1.506,0.78183,0.73697,0.78465,0.4609,1.4824,2.54486,1.49296,0.0013272,0.000990499,0.000990499
4,68.1139,1.55101,1.39044,1.49992,0.86621,0.6019,0.76182,0.43678,1.48483,2.18502,1.48909,0.000986186,0.000986186,0.000986186
5,84.8908,1.50405,1.32263,1.45057,0.79981,0.75829,0.84174,0.51995,1.36214,2.32526,1.3993,0.000975531,0.000975531,0.000975531
6,101.724,1.51631,1.32431,1.47633,0.74839,0.61611,0.71459,0.42995,1.48351,3.9286,1.52616,0.000961944,0.000961944,0.000961944
7,118.581,1.461,1.23764,1.41454,0.86881,0.72038,0.84339,0.51189,1.48956,1.86613,1.41361,0.000945509,0.000945509,0.000945509
8,135.372,1.4588,1.21542,1.4323,0.90336,0.85308,0.92116,0.58096,1.36443,1.50513,1.33381,0.000926327,0.000926327,0.000926327
9,152.636,1.42856,1.17628,1.40139,0.89791,0.8128,0.90327,0.55548,1.42564,1.27029,1.44066,0.000904518,0.000904518,0.000904518
10,169.499,1.40204,1.15301,1.37785,0.84156,0.84597,0.90128,0.56965,1.41337,1.41184,1.40529,0.000880215,0.000880215,0.000880215
11,186.279,1.40952,1.12545,1.38273,0.84321,0.84111,0.88992,0.56453,1.33627,1.44606,1.34163,0.000853568,0.000853568,0.000853568
12,203.139,1.40628,1.13015,1.3828,0.85977,0.84265,0.91286,0.58313,1.25906,1.46754,1.27854,0.000824742,0.000824742,0.000824742
13,220.12,1.38169,1.10235,1.37821,0.88018,0.85293,0.91818,0.59847,1.32754,1.48816,1.33255,0.000793913,0.000793913,0.000793913
14,236.972,1.35249,1.08213,1.35034,0.85997,0.84404,0.91822,0.59205,1.31211,1.4182,1.33903,0.000761273,0.000761273,0.000761273
15,254.123,1.36502,1.07269,1.36265,0.86796,0.84116,0.9108,0.57441,1.34377,1.60468,1.3214,0.000727023,0.000727023,0.000727023
16,270.951,1.34873,1.06341,1.3521,0.87161,0.87441,0.91983,0.58677,1.28282,1.17284,1.28072,0.000691373,0.000691373,0.000691373
17,287.722,1.3139,1.02,1.32722,0.91089,0.85782,0.92275,0.59939,1.31899,1.48333,1.32581,0.000654543,0.000654543,0.000654543
18,304.594,1.31049,1.0303,1.33019,0.87813,0.85308,0.92037,0.58891,1.27938,1.95246,1.28673,0.000616761,0.000616761,0.000616761
19,321.473,1.30382,1.00479,1.31614,0.87234,0.89059,0.93416,0.60777,1.21807,1.14814,1.23906,0.000578259,0.000578259,0.000578259
20,338.523,1.29892,0.98575,1.30601,0.88761,0.86967,0.92093,0.61772,1.26621,1.18035,1.27727,0.000539276,0.000539276,0.000539276
21,355.439,1.29561,0.96992,1.30343,0.89017,0.8981,0.93035,0.59826,1.19674,1.53741,1.23126,0.00050005,0.00050005,0.00050005
22,372.469,1.28566,0.97285,1.29599,0.85439,0.891,0.91703,0.60107,1.2419,1.06349,1.2605,0.000460824,0.000460824,0.000460824
23,389.444,1.26247,0.96087,1.29509,0.88594,0.80983,0.89815,0.58422,1.28595,1.38992,1.29147,0.000421841,0.000421841,0.000421841
24,406.319,1.25412,0.92967,1.28281,0.8868,0.86019,0.92797,0.61237,1.22876,1.14562,1.25365,0.000383339,0.000383339,0.000383339
25,423.322,1.23293,0.91934,1.26965,0.91464,0.86967,0.94815,0.62543,1.26428,1.08583,1.27528,0.000345557,0.000345557,0.000345557
26,440.463,1.23668,0.92121,1.27351,0.90777,0.87915,0.93378,0.61444,1.24149,1.07739,1.25345,0.000308727,0.000308727,0.000308727
27,457.26,1.24522,0.90853,1.26829,0.93186,0.87441,0.94342,0.62587,1.24555,0.9428,1.2417,0.000273077,0.000273077,0.000273077
28,474.252,1.22872,0.88345,1.25909,0.89609,0.89573,0.93824,0.62766,1.17185,0.98137,1.21098,0.000238827,0.000238827,0.000238827
29,491.314,1.20498,0.88167,1.24739,0.89672,0.90527,0.94967,0.6335,1.20089,0.98543,1.23527,0.000206187,0.000206187,0.000206187
30,508.375,1.19645,0.88661,1.24268,0.91293,0.90047,0.94442,0.63097,1.21365,0.97438,1.24136,0.000175358,0.000175358,0.000175358
31,525.527,1.03012,0.93973,1.11755,0.88472,0.86967,0.93131,0.6144,1.21427,0.94161,1.23295,0.000146532,0.000146532,0.000146532
32,542.117,0.96144,0.68501,1.08837,0.92249,0.87441,0.95546,0.63785,1.17115,0.95588,1.23242,0.000119885,0.000119885,0.000119885
33,558.681,0.9463,0.62253,1.08194,0.91734,0.86781,0.95396,0.63866,1.15908,0.99725,1.19945,9.5582e-05,9.5582e-05,9.5582e-05
34,575.268,0.94134,0.61554,1.07881,0.91805,0.87605,0.95003,0.63781,1.14328,0.96368,1.19584,7.37725e-05,7.37725e-05,7.37725e-05
35,591.81,0.93052,0.58481,1.06694,0.90516,0.91469,0.95306,0.63675,1.14227,0.97855,1.19372,5.45913e-05,5.45913e-05,5.45913e-05
36,608.375,0.92691,0.58579,1.06578,0.8984,0.91232,0.95636,0.64262,1.15207,0.96288,1.19651,3.81564e-05,3.81564e-05,3.81564e-05
