epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8112,1.91478,2.81793,1.80133,0.00651,0.83807,0.2642,0.11144,2.45921,5.47082,2.26756,0.07624,0.00024,0.00024
2,23.7594,1.65236,1.66353,1.50771,0.11854,0.07221,0.04773,0.02145,2.50453,4.56127,2.72248,0.05149,0.000489987,0.000489987
3,35.4339,1.58721,1.44265,1.47499,0.49361,0.40919,0.45575,0.23158,2.02129,5.33672,1.95198,0.0267399,0.000739919,0.000739919
4,47.0587,1.57523,1.37952,1.46666,0.71326,0.58241,0.67593,0.3948,1.67327,3.21909,1.59032,0.00198976,0.000989756,0.000989756
5,58.8041,1.51342,1.31911,1.44086,0.80178,0.77006,0.843,0.51659,1.79255,4.96977,1.69951,0.000999561,0.000999561,0.000999561
6,70.5397,1.48832,1.26831,1.44039,0.8269,0.72125,0.81605,0.49653,1.5598,12.034,1.48884,0.000999315,0.000999315,0.000999315
7,82.1752,1.47371,1.19854,1.41278,0.89046,0.78271,0.87729,0.54405,1.6897,4.07452,1.68958,0.000999013,0.000999013,0.000999013
8,93.8917,1.46256,1.21458,1.41651,0.85605,0.54652,0.6698,0.41714,1.86962,11.6312,1.73609,0.000998657,0.000998657,0.000998657
9,105.611,1.45127,1.1731,1.38711,0.74729,0.51204,0.63068,0.37399,1.90718,9.46032,1.90226,0.000998247,0.000998247,0.000998247
10,117.261,1.43121,1.11393,1.37307,0.79052,0.69363,0.80477,0.49388,1.91975,2.69201,1.87406,0.000997781,0.000997781,0.000997781
11,128.914,1.41187,1.12573,1.36834,0.7964,0.69147,0.7927,0.47815,1.60145,2.74345,1.54181,0.000997261,0.000997261,0.000997261
12,140.522,1.40436,1.09195,1.34898,0.73565,0.73304,0.80123,0.49827,1.6457,2.52506,1.53985,0.000996687,0.000996687,0.000996687
13,152.175,1.40094,1.07211,1.34782,0.71069,0.46228,0.59635,0.35394,1.64785,3.00903,1.57839,0.000996058,0.000996058,0.000996058
14,163.828,1.39955,1.08484,1.35825,0.88727,0.70022,0.83455,0.54119,1.29906,2.06345,1.31858,0.000995374,0.000995374,0.000995374
15,175.471,1.38703,1.08029,1.35071,0.72145,0.38293,0.50606,0.28617,2.01026,3.38919,1.92258,0.000994637,0.000994637,0.000994637
16,187.13,1.36557,1.05941,1.34311,0.84046,0.55142,0.69149,0.4373,1.71109,5.81852,1.61923,0.000993845,0.000993845,0.000993845
17,198.824,1.35841,1.04381,1.33465,0.86237,0.7965,0.88643,0.57355,1.57039,4.48216,1.48349,0.000992999,0.000992999,0.000992999
18,210.536,1.3498,1.03366,1.33033,0.89551,0.80744,0.89848,0.55655,1.34281,2.0307,1.33038,0.000992099,0.000992099,0.000992099
19,222.148,1.33317,1.01886,1.32274,0.85505,0.85191,0.89744,0.57227,1.71061,1.16719,1.6402,0.000991145,0.000991145,0.000991145
20,233.788,1.35375,1.02049,1.33655,0.85878,0.87821,0.92694,0.60037,1.62863,1.62858,1.47564,0.000990137,0.000990137,0.000990137
21,245.414,1.33801,1.00512,1.31183,0.85423,0.89762,0.94383,0.59075,1.56481,2.51242,1.56735,0.000989075,0.000989075,0.000989075
22,257.138,1.33004,1.01035,1.30255,0.91809,0.85847,0.9383,0.60652,1.59381,2.01272,1.54222,0.00098796,0.00098796,0.00098796
23,268.911,1.33482,0.99769,1.30911,0.8005,0.7046,0.79771,0.50663,1.39148,2.74762,1.41808,0.000986791,0.000986791,0.000986791
24,280.553,1.33329,1.00758,1.31496,0.88726,0.70603,0.84235,0.5397,1.33929,2.34594,1.33257,0.000985569,0.000985569,0.000985569
25,292.174,1.33136,0.98674,1.30375,0.8753,0.73724,0.85388,0.55504,1.4865,2.31465,1.43374,0.000984293,0.000984293,0.000984293
26,303.792,1.31161,0.97788,1.29943,0.90121,0.75711,0.8641,0.56061,1.55741,2.64719,1.57319,0.000982965,0.000982965,0.000982965
27,315.423,1.29147,0.96059,1.28119,0.88462,0.73816,0.8736,0.56646,1.45272,2.08671,1.42737,0.000981583,0.000981583,0.000981583
28,327.139,1.31181,0.96937,1.29601,0.87954,0.8787,0.92305,0.5671,1.44382,1.88759,1.38627,0.000980149,0.000980149,0.000980149
29,338.886,1.3242,0.9833,1.30032,0.88574,0.84464,0.92566,0.60903,1.64104,2.58519,1.65631,0.000978662,0.000978662,0.000978662
30,350.694,1.30115,0.97303,1.29877,0.8443,0.85777,0.92166,0.60254,1.70733,3.76501,1.67732,0.000977122,0.000977122,0.000977122
31,362.38,1.27945,0.93533,1.28524,0.90847,0.78191,0.89634,0.58305,1.60792,8.27024,1.60202,0.000975531,0.000975531,0.000975531
32,373.953,1.30017,0.94389,1.29081,0.89989,0.82616,0.9181,0.60041,1.69154,3.09473,1.68707,0.000973887,0.000973887,0.000973887
33,385.591,1.28458,0.93206,1.27877,0.90816,0.7965,0.90549,0.59369,1.73524,2.7515,1.73475,0.000972191,0.000972191,0.000972191
34,397.236,1.29247,0.91145,1.28866,0.86536,0.80963,0.90415,0.57698,1.73825,2.14879,1.65978,0.000970443,0.000970443,0.000970443
35,408.884,1.28354,0.91805,1.27589,0.88337,0.61926,0.7645,0.48779,1.67294,4.05073,1.68287,0.000968644,0.000968644,0.000968644
36,420.558,1.27619,0.94008,1.28057,0.83908,0.76446,0.8598,0.56625,1.65544,3.02385,1.59114,0.000966794,0.000966794,0.000966794
37,432.205,1.29353,0.93549,1.29099,0.82812,0.74851,0.84509,0.54438,1.45741,2.88468,1.48682,0.000964892,0.000964892,0.000964892
38,443.953,1.26108,0.90804,1.27659,0.89856,0.8722,0.92979,0.61451,1.44454,1.82487,1.46777,0.000962939,0.000962939,0.000962939
39,455.68,1.25975,0.8979,1.26386,0.89509,0.85339,0.92893,0.60977,1.7371,3.39609,1.71085,0.000960935,0.000960935,0.000960935
40,467.442,1.25899,0.89803,1.27229,0.88186,0.814,0.9111,0.59792,1.55834,2.78993,1.55585,0.000958881,0.000958881,0.000958881
41,479.236,1.26012,0.90334,1.26507,0.9045,0.83151,0.91582,0.60821,1.43064,3.33714,1.41886,0.000956777,0.000956777,0.000956777
42,490.88,1.27226,0.91418,1.27849,0.88753,0.8288,0.91607,0.60408,1.54761,1.77667,1.61505,0.000954623,0.000954623,0.000954623
43,502.466,1.26011,0.90177,1.26972,0.87061,0.84464,0.89973,0.58887,1.33961,1.96684,1.45169,0.000952418,0.000952418,0.000952418
44,514.146,1.24557,0.89197,1.25871,0.89546,0.8809,0.9258,0.60533,1.36848,3.70913,1.42838,0.000950164,0.000950164,0.000950164
45,525.79,1.2662,0.90346,1.27194,0.8812,0.84398,0.91992,0.60193,1.6565,1.14902,1.72569,0.000947861,0.000947861,0.000947861
46,537.45,1.24312,0.89148,1.25642,0.87069,0.76368,0.86827,0.54875,1.7449,1.60949,1.75486,0.000945509,0.000945509,0.000945509
47,549.071,1.23398,0.87708,1.23623,0.907,0.85364,0.92202,0.60069,1.8075,2.50532,1.75664,0.000943107,0.000943107,0.000943107
48,560.716,1.23014,0.88366,1.2492,0.89109,0.77243,0.87798,0.57289,1.66571,2.68002,1.75775,0.000940658,0.000940658,0.000940658
